PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,2,"Yoon, Miss. Sora",female,28.8,0,3,T283978,5.884,,S
2,0,2,"Choi, Mr. Taeyang",male,35.4,3,0,T792472,22.0571,B138,Q
3,0,2,"Song, Mr. Sungmin",male,,0,2,T417687,28.3878,,Q
4,0,3,"Han, Mr. Junho",male,13.9,0,0,T186310,20.1664,,S
5,0,3,"Hwang, Mr. Minsu",male,9.7,3,0,T871329,14.4529,,S
6,0,3,"Lee, Mr. Minsu",male,37.9,1,2,T967845,9.6805,F137,S
7,1,3,"Yoon, Mr. Junho",male,53.2,0,0,T265128,7.6717,,C
8,0,1,"Lee, Mr. Junho",male,38.8,4,0,T298543,176.7668,F69,C
9,0,3,"Song, Mr. Taeyang",male,32.3,0,0,T536729,17.7419,,S
10,0,3,"Park, Mr. Junho",male,,0,0,T398845,27.5028,,C
11,0,3,"Yoon, Mr. Taeyang",male,30.6,0,0,T980327,22.1698,,S
12,1,2,"Kang, Miss. Sora",female,58.5,0,0,T387891,25.241,,C
13,1,1,"Shin, Mr. Woojin",male,37.7,0,0,T616261,143.6775,E115,S
14,0,3,"Lim, Mr. Woojin",male,25.8,2,0,T128540,1.9054,,Q
15,0,3,"Park, Mr. Taeyang",male,21.8,2,0,T497603,4.8519,,C
16,1,2,"Oh, Miss. Seoyeon",female,29.4,0,0,T159115,10.1571,,S
17,1,1,"Han, Mrs. Jiwoo",female,23.9,0,0,T994943,63.1082,,C
18,1,1,"Ko, Mrs. Chaewon",female,65.3,0,1,T356391,187.2942,,S
19,0,2,"Shin, Mr. Woojin",male,8.7,0,0,T128043,31.9503,,C
20,1,2,"Song, Mrs. Chaewon",female,,0,1,T199857,33.8212,,C
21,0,1,"Kang, Mr. Junho",male,17.2,4,0,T681737,99.3738,,S
22,1,3,"Park, Mr. Junho",male,28.6,0,0,T165577,4.1723,,S
23,0,1,"Jung, Mrs. Eunbi",female,19.8,0,0,T273442,129.9195,,S
24,0,3,"Song, Mr. Hyun",male,63.4,0,0,T171554,24.6736,,S
25,1,3,"Ahn, Mr. Taeyang",male,51,3,0,T227017,31.8187,A133,C
26,0,1,"Lee, Mr. Jiho",male,18.1,4,0,T255192,91.2475,B17,S
27,1,1,"Han, Mrs. Hana",female,36.7,0,0,T737083,197.2351,,S
28,1,1,"Han, Miss. Minji",female,40.1,1,0,T418220,27.1601,A79,S
29,0,3,"Jeon, Mr. Daniel",male,,0,0,T893248,4.2063,,S
30,0,3,"Seo, Mr. Hyun",male,27.8,4,0,T720502,18.0607,,C
31,1,3,"Lee, Mrs. Jiwoo",female,18.7,2,0,T966985,12.6346,,S
32,1,3,"Lim, Mr. Taeyang",male,18.5,1,0,T152974,7.4114,,S
33,0,2,"Han, Mrs. Chaewon",female,22,0,1,T366017,25.5877,,S
34,0,1,"Oh, Mr. Jiho",male,26.8,0,0,T315116,12.7621,,S
35,1,3,"Choi, Mrs. Seoyeon",female,,0,0,T878372,3.1522,,S
36,0,3,"Oh, Mr. Daniel",male,31.2,0,3,T483235,17.5292,,S
37,1,3,"Kim, Mr. Daniel",male,48.1,4,0,T719191,22.9607,,S
38,0,3,"Yoon, Mr. Junho",male,37.7,0,0,T817939,4.071,E99,S
39,0,1,"Park, Mrs. Minji",female,10.9,1,0,T328566,122.1279,,Q
40,1,3,"Hwang, Mrs. Minji",female,,0,0,T711325,29.7019,,Q
41,0,3,"Kim, Mr. Daniel",male,52.8,0,0,T296597,11.4844,,Q
42,1,3,"Song, Miss. Jiwoo",female,35.1,2,2,T917109,3.0896,,C
43,1,3,"Ryu, Mr. Minsu",male,,0,0,T559626,14.3767,,S
44,0,2,"Jeon, Mr. Daniel",male,43.9,3,0,T460677,20.1896,,S
45,0,3,"Hong, Mrs. Hana",female,8.4,0,3,T165309,8.0419,D32,C
46,1,1,"Kang, Mr. Junho",male,33.2,2,0,T619274,58.7418,,C
47,0,1,"Ryu, Mr. Woojin",male,,0,0,T766903,2.3516,,S
48,0,3,"Lim, Mr. Woojin",male,24.2,0,2,T340359,16.5442,E8,S
49,0,1,"Seo, Mrs. Yuna",female,27.1,0,0,T809008,81.2585,,C
50,0,3,"Ko, Mrs. Sora",female,24.6,0,0,T505000,14.6543,D137,S
51,0,2,"Hwang, Mr. Sungmin",male,,0,0,T258449,47.6604,C59,S
52,0,3,"Jung, Mr. Jiho",male,2.5,0,0,T787137,34.6046,E48,S
53,1,3,"Han, Miss. Seoyeon",female,38.2,1,0,T354264,15.2229,,C
54,0,3,"Choi, Mrs. Seoyeon",female,11.3,0,0,T990311,12.8142,,C
55,0,1,"Ahn, Miss. Jiwoo",female,34.2,2,0,T367402,201.8398,,S
56,0,3,"Shin, Mr. Sungmin",male,19.9,0,0,T632188,2.5307,,S
57,0,3,"Lee, Mr. Jiho",male,38.6,0,0,T118720,10.6257,A26,Q
58,0,3,"Jeon, Mr. Hyun",male,29.5,0,0,T959410,23.6208,,S
59,0,1,"Hong, Mr. Sungmin",male,16,0,0,T618392,52.2616,,S
60,1,3,"Yoon, Miss. Yuna",female,35.9,1,0,T211072,29.0044,F45,S
61,1,1,"Jung, Miss. Jiwoo",female,26.7,4,0,T996985,116.5915,,Q
62,0,2,"Han, Mrs. Seoyeon",female,57.1,2,0,T557880,13.5322,,C
63,0,3,"Oh, Miss. Yuna",female,,0,0,T472078,17.1986,,S
64,0,1,"Lee, Mr. Hyun",male,2.2,4,2,T922418,115.5668,,C
65,1,3,"Jeon, Miss. Chaewon",female,29.1,0,1,T384656,6.7685,,S
66,1,2,"Kang, Mr. Daniel",male,28.1,1,0,T168049,2.684,,C
67,0,3,"Kim, Mr. Hyun",male,28.8,2,0,T529604,11.6762,,S
68,0,2,"Shin, Miss. Chaewon",female,22.1,0,3,T490605,32.0197,,C
69,1,3,"Han, Miss. Hana",female,38,2,0,T940453,19.7708,,S
70,1,3,"Lee, Miss. Yuna",female,24,0,0,T631178,11.9985,,C
71,1,1,"Kang, Mrs. Minji",female,48.9,0,0,T880306,3.7952,,S
72,1,3,"Seo, Mr. Taeyang",male,58.2,0,1,T536785,7.4336,,S
73,0,2,"Hong, Mr. Sungmin",male,,0,0,T980087,23.4215,,S
74,0,3,"Shin, Mr. Taeyang",male,20,1,2,T262095,11.039,,S
75,0,3,"Kwon, Mr. Hyun",male,7.5,0,0,T972532,17.3833,,C
76,1,2,"Kim, Mr. Jiho",male,13.6,0,0,T826270,1.7702,,S
77,0,1,"Park, Mr. Sungmin",male,10,0,0,T967867,55.2646,B108,C
78,0,2,"Kang, Mrs. Jiwoo",female,18.1,0,0,T498701,3.2803,,S
79,0,3,"Jeon, Mr. Junho",male,,0,3,T118304,5.8417,,S
80,0,3,"Lee, Mr. Sungmin",male,21,1,2,T139951,5.2034,,S
81,0,3,"Kwon, Mr. Hyun",male,28.7,0,0,T109539,15.4435,,S
82,1,2,"Park, Mrs. Jiwoo",female,14.1,0,0,T738994,23.8737,,
83,0,2,"Han, Mr. Taeyang",male,45.4,0,2,T290339,16.78,,S
84,0,1,"Ahn, Mr. Hyun",male,38,0,0,T661741,18.3494,,S
85,0,3,"Oh, Mrs. Jiwoo",female,55.7,3,0,T714560,16.2681,,S
86,0,3,"Ryu, Mr. Hyun",male,13.3,3,0,T283964,12.372,,S
87,1,3,"Kang, Mrs. Jiwoo",female,49.2,1,0,T241438,10.077,,S
88,0,1,"Hong, Mr. Daniel",male,38.7,4,0,T839306,158.7723,,S
89,0,3,"Kim, Mr. Minsu",male,23.9,0,2,T817865,2.1691,,Q
90,1,2,"Shin, Mr. Taeyang",male,23.6,0,0,T407437,7.867,B68,S
91,0,3,"Kang, Mr. Sungmin",male,14.8,0,0,T496632,4.3099,,C
92,0,1,"Yoon, Mr. Junho",male,34.7,0,0,T875105,148.041,,S
93,0,3,"Oh, Mr. Taeyang",male,14,0,0,T571077,19.7832,,S
94,1,3,"Lee, Mrs. Sora",female,21.3,0,0,T526529,10.4306,,S
95,1,3,"Lee, Mrs. Seoyeon",female,28.8,0,0,T323494,19.4249,,S
96,1,1,"Hong, Mrs. Jiwoo",female,,0,0,T565881,19.4596,,S
97,0,2,"Hong, Mr. Hyun",male,,0,0,T845637,38.0686,,S
98,1,3,"Ahn, Mr. Minsu",male,25.1,3,0,T133094,0.4507,,S
99,0,1,"Jung, Mrs. Sora",female,43.9,0,0,T918650,4.0545,,S
100,0,3,"Han, Mr. Jiho",male,,4,0,T941080,6.7652,C84,S
101,0,1,"Park, Mr. Hyun",male,15.2,0,0,T346494,99.7192,,C
102,0,3,"Ryu, Mr. Daniel",male,30.3,0,0,T890030,28.6605,,Q
103,0,1,"Jung, Mr. Sungmin",male,57.5,0,0,T513965,70.5276,,Q
104,1,3,"Shin, Miss. Sora",female,38.6,0,0,T512467,21.2056,,S
105,0,3,"Han, Mr. Jiho",male,46.7,3,1,T766358,35.9722,,S
106,0,3,"Ahn, Mr. Minsu",male,40.7,0,0,T226903,9.9137,,C
